name,url,remote_testing,adaptive_irt,test_type,description
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,True,False,AEBCDP,SHL assessment for evaluating Global Skills Development Report. Test type: AEBCDP
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,True,True,K,SHL assessment for evaluating .NET Framework 4.5. Test type: K
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,True,False,K,SHL assessment for evaluating .NET MVC (New). Test type: K
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,True,False,K,SHL assessment for evaluating .NET MVVM (New). Test type: K
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,True,False,K,SHL assessment for evaluating .NET WCF (New). Test type: K
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,True,False,K,SHL assessment for evaluating .NET WPF (New). Test type: K
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,True,False,K,SHL assessment for evaluating .NET XAML (New). Test type: K
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,True,False,K,SHL assessment for evaluating Accounts Payable (New). Test type: K
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,True,False,S,SHL assessment for evaluating Accounts Payable Simulation (New). Test type: S
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,True,False,K,SHL assessment for evaluating Accounts Receivable (New). Test type: K
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,True,False,S,SHL assessment for evaluating Accounts Receivable Simulation (New). Test type: S
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,True,False,K,SHL assessment for evaluating ADO.NET (New). Test type: K
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,True,False,K,SHL assessment for evaluating Adobe Experience Manager (New). Test type: K
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,True,True,K,SHL assessment for evaluating Adobe Photoshop CC. Test type: K
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,True,False,K,SHL assessment for evaluating Aeronautical Engineering (New). Test type: K
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,True,False,K,SHL assessment for evaluating Aerospace Engineering (New). Test type: K
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,True,False,K,SHL assessment for evaluating Agile Software Development. Test type: K
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,True,False,K,SHL assessment for evaluating Agile Testing (New). Test type: K
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,True,False,P,SHL assessment for evaluating AI Skills. Test type: P
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,True,False,K,SHL assessment for evaluating Amazon Web Services (AWS) Development (New). Test type: K
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,True,False,K,SHL assessment for evaluating Android Development (New). Test type: K
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,True,False,K,SHL assessment for evaluating Angular 6 (New). Test type: K
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,True,False,K,SHL assessment for evaluating AngularJS (New). Test type: K
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,True,False,K,SHL assessment for evaluating Apache Hadoop (New). Test type: K
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,True,False,K,SHL assessment for evaluating Apache Hadoop Extensions (New). Test type: K
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,True,False,K,SHL assessment for evaluating Apache HBase (New). Test type: K
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,True,False,K,SHL assessment for evaluating Apache Hive (New). Test type: K
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,True,False,K,SHL assessment for evaluating Apache Kafka (New). Test type: K
